method,env_id,per_seed_ckpt_policy,episodes_per_seed,n_runs,n_seeds,seeds,mean_return_mean,mean_return_std,mean_return_se,mean_return_ci95_lo,mean_return_ci95_hi,mean_length_mean,mean_length_std,mean_length_se,mean_length_ci95_lo,mean_length_ci95_hi,step_min,step_max,step_mean
glpe_impact_only,Ant-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",5233.286032902366,888.3045001619524,314.06306791152156,4544.483165064936,5663.108077591454,972.88125,37.975065318409904,13.42621310132486,942.4765625,994.66875,15000000,15000000,15000000
glpe_impact_only,BipedalWalker-v3,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",277.53749107669637,29.913886407373635,10.576155965148994,256.01546736460307,296.46789999316496,1216.56875,215.0282611331299,76.02397079699394,1050.4601562500002,1340.3270312500001,7000000,7000000,7000000
glpe_impact_only,HalfCheetah-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",6816.486391209157,527.2199806339675,186.4004117416593,6420.426348616157,7168.201643465103,1000.0,0.0,0.0,1000.0,1000.0,15000000,15000000,15000000
glpe_impact_only,Humanoid-v5,latest_ckpt,20,100,5,"0,1,2,3,4",951.9236700312417,807.0665742612736,360.93114448321796,337.50854268073135,1754.4305113832743,175.96,136.48453538771344,61.037739800880566,75.36,311.07,30000000,30000000,30000000
glpe_impact_only,MountainCar-v0,latest_ckpt,20,200,10,"0,1,2,3,4,5,6,7,8,9",-111.785,32.27440200840288,10.20606204664659,-137.01625,-96.19449999999999,111.785,32.27440200840288,10.20606204664659,96.1645,133.61062499999997,3000000,3000000,3000000
glpe_lp_only,Ant-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",4599.470561661955,1293.7255019425822,457.4010377087849,3616.884040382216,5401.071074890688,919.6,81.05554422740002,28.657462487980332,854.990625,967.98796875,15000000,15000000,15000000
glpe_lp_only,BipedalWalker-v3,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",298.7521108401299,17.361098074540816,6.138075088676262,285.5217524163716,308.0716234529499,806.84375,70.18044348988897,24.812533749189893,757.84875,853.95171875,7000000,7000000,7000000
glpe_lp_only,HalfCheetah-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",6632.367478670571,629.942563645865,222.7183292560147,6210.041230964157,7047.615642611283,1000.0,0.0,0.0,1000.0,1000.0,15000000,15000000,15000000
glpe_lp_only,Humanoid-v5,latest_ckpt,20,100,5,"0,1,2,3,4",746.8460424853008,430.2573716222531,192.4169461535494,381.0895587696526,1112.6025262009491,138.02,72.21592345182606,32.29594277924086,78.93999999999998,200.39000000000001,30000000,30000000,30000000
glpe_lp_only,MountainCar-v0,latest_ckpt,20,200,10,"0,1,2,3,4,5,6,7,8,9",-106.59,31.14133747930554,9.847755581857218,-127.43524999999998,-95.96000000000001,106.59,31.14133747930554,9.847755581857218,95.944875,127.490125,3000000,3000000,3000000
glpe_nogate,Ant-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",4961.287651177988,711.1166351186997,251.41769745349617,4435.737824683056,5348.723341134095,942.44375,66.17364674428562,23.39591717436373,894.3906249999999,981.23265625,15000000,15000000,15000000
glpe_nogate,BipedalWalker-v3,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",294.4482777484851,13.226162388619976,4.676154557033825,285.9388420547484,303.660698509606,1111.20625,243.765673133929,86.18418024675229,944.14328125,1274.50140625,7000000,7000000,7000000
glpe_nogate,HalfCheetah-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",6907.731590367952,516.6399300078782,182.65979897015697,6548.0009813830175,7280.194284669264,1000.0,0.0,0.0,1000.0,1000.0,15000000,15000000,15000000
glpe_nogate,Humanoid-v5,latest_ckpt,20,100,5,"0,1,2,3,4",2857.7715640715746,1752.4368418550496,783.7135809325879,1427.5772276692473,4453.989373924443,503.22,302.7457127689837,135.39199872961473,255.49,782.65,30000000,30000000,30000000
glpe_nogate,MountainCar-v0,latest_ckpt,20,200,10,"0,1,2,3,4,5,6,7,8,9",-97.12,2.6216597796052783,0.8290416153607728,-98.99525,-95.99000000000001,97.12,2.6216597796052783,0.8290416153607728,95.995,98.945,3000000,3000000,3000000
icm,Ant-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",4638.568087483825,1196.3775736661587,422.9833475994245,3721.692409241225,5360.799345886132,942.33125,71.54369267054572,25.29451511923459,889.223125,983.55171875,15000000,15000000,15000000
icm,BipedalWalker-v3,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",273.90720961798945,48.87230027479094,17.278967468244918,234.6209839423813,299.7251345527018,1018.90625,237.39030945562521,83.93014880202279,858.79375,1186.48828125,7000000,7000000,7000000
icm,HalfCheetah-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",5827.51871654004,1490.5075499185193,526.9739979785658,4577.681480479931,6650.6922450952725,1000.0,0.0,0.0,1000.0,1000.0,15000000,15000000,15000000
icm,Humanoid-v5,latest_ckpt,20,100,5,"0,1,2,3,4",2874.0842152983464,2450.570965479278,1095.9286524997913,770.0213225377221,4956.27097614716,493.84000000000003,416.5794742903207,186.3000045088566,137.42000000000002,850.26,30000000,30000000,30000000
icm,MountainCar-v0,latest_ckpt,20,200,10,"0,1,2,3,4,5,6,7,8,9",-106.725,31.096352278040587,9.833530012157384,-127.55999999999999,-96.08,106.725,31.096352278040587,9.833530012157384,96.1,127.57512499999997,3000000,3000000,3000000
riac,Ant-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",5383.564097842993,362.16962216688125,128.04629788698574,5118.251709729979,5624.6896098049,986.8,17.732209394206905,6.269282754031751,973.8,997.7625,15000000,15000000,15000000
riac,BipedalWalker-v3,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",300.2016478818702,11.572472986001827,4.091487061750013,292.27922223106896,307.6583599381752,824.0,67.19467519826253,23.756905246159477,776.6981249999999,865.9582812499999,7000000,7000000,7000000
riac,HalfCheetah-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",6091.926145175088,1928.9669535213907,681.9928067598655,4542.897202762065,7164.660790646821,1000.0,0.0,0.0,1000.0,1000.0,15000000,15000000,15000000
riac,Humanoid-v5,latest_ckpt,20,100,5,"0,1,2,3,4",2005.118024854608,2007.374247945803,897.7250549378666,681.0226020917363,4059.7690103002687,343.98,337.5262339433781,150.94632065737807,123.47999999999999,688.8399999999999,30000000,30000000,30000000
riac,MountainCar-v0,latest_ckpt,20,200,10,"0,1,2,3,4,5,6,7,8,9",-106.58,31.144744339936395,9.848832925783643,-127.450125,-95.915,106.58,31.144744339936395,9.848832925783643,95.94,127.415125,3000000,3000000,3000000
