method,env_id,ckpt_step,per_seed_ckpt_policy,episodes_per_seed,n_runs,n_seeds,seeds,mean_return_mean,mean_return_std,mean_return_se,mean_return_ci95_lo,mean_return_ci95_hi,mean_length_mean,mean_length_std,mean_length_se,mean_length_ci95_lo,mean_length_ci95_hi
glpe,Ant-v5,3014656,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",1717.415073938283,190.18402634294628,67.24020735022916,1583.1843122127266,1848.1273334271043,798.95,69.42697602517337,24.546142772337973,752.0140624999999,848.7375
glpe,Ant-v5,4521984,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",2534.2238440107544,351.52409546297514,124.2825358261685,2315.199054858743,2805.746289814542,855.00625,78.9889962174321,27.926827432232393,799.14125,909.56875
glpe,Ant-v5,6029312,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",3312.6097468429616,548.4849629415249,193.91871833740223,2933.342995778481,3731.2555294795584,934.38125,60.35167218841165,21.337538330186717,887.6392187499999,971.24703125
glpe,Ant-v5,7536640,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",3885.630158991568,496.77154631479317,175.63526454985865,3520.662318876745,4212.606389072633,929.35625,37.854436971608756,13.383564540311653,904.446875,958.6542187499999
glpe,Ant-v5,9043968,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",4329.426189073935,519.3100476976623,183.6038281326632,3977.491643496101,4676.754505214047,960.2875,43.5937620967725,15.41272239803046,929.1625,987.7125
glpe,Ant-v5,10551296,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",4757.706034666951,603.5601976089024,213.39075429177376,4286.168899981569,5135.745745027533,960.325,26.879174094454623,9.50322313744132,942.73109375,979.25703125
glpe,Ant-v5,12058624,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",5016.961105329053,588.4896107677395,208.06249721585021,4587.02187014812,5407.762715425244,965.08125,36.82476185853074,13.019519412873409,938.4414062499999,988.7375
glpe,Ant-v5,13565952,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",4872.895661318392,794.9053723774709,281.04148960486367,4281.91693785181,5341.178387443833,922.75,77.77850361764489,27.498853669289556,867.2437500000001,972.18125
glpe,Ant-v5,15000000,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",4961.287651177988,711.1166351186997,251.41769745349617,4431.923694720825,5357.672403306306,942.44375,66.17364674428562,23.39591717436373,890.36109375,982.4907812499999
glpe,BipedalWalker-v3,0,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",-87.42102945104034,32.72009487416575,11.568300483294898,-103.53850612988224,-61.432358049301804,298.625,492.46373533997405,174.11222337367644,99.89375000000001,672.56765625
glpe,BipedalWalker-v3,81920,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",-67.47239277599199,35.47290190743036,12.541564743554613,-91.46642035327356,-43.45940342419567,901.53125,611.7567980504488,216.28869016922079,491.60031250000054,1292.6687499999998
glpe,BipedalWalker-v3,147456,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",-64.28873805980365,32.67331200553424,11.551760241468548,-87.1189780709956,-42.3990206733718,1109.8625,611.9011137175271,216.33971346263206,665.85,1500.80625
glpe,BipedalWalker-v3,212992,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",-33.1491299743624,24.253725552623624,8.574986903648805,-48.92998491898088,-14.389269093762232,1517.08125,191.87479957237088,67.83798595821655,1370.5437499999998,1600.0
glpe,BipedalWalker-v3,294912,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",18.99381172441506,69.69873503368444,24.64222409122133,-31.86443287711363,66.07343237145733,1394.575,321.71883104661435,113.74478353423508,1152.2062500000002,1583.55
